,0,1,2,3,4,5
0,14,0,14,0,27,[2]
1,14,0,14,0,25,[3]
2,14,0,14,0,23,[5]
3,14,0,14,0,21,[1]
4,14,0,14,0,19,[1]
5,14,0,14,0,17,[5]
6,14,0,14,0,15,[1]
7,14,0,14,0,26,[1]
8,14,0,14,0,24,[3]
9,14,0,14,0,22,[4]
10,14,0,14,0,27,[2]
11,14,0,14,0,25,[3]
12,14,0,14,0,23,[4]
13,14,0,14,0,21,[4]
14,14,0,14,0,19,[4]
15,14,0,14,0,17,[0]
16,14,0,14,0,15,[5]
17,14,0,14,0,26,[3]
18,14,0,14,0,24,[5]
19,14,0,14,0,22,[4]
20,14,0,14,0,27,[5]
21,14,0,14,0,25,[2]
22,14,0,14,0,23,[2]
23,14,0,14,0,21,[3]
24,14,0,14,0,19,[4]
25,14,0,14,0,17,[4]
26,14,0,14,0,15,[1]
27,14,0,14,0,26,[4]
28,14,0,14,0,24,[2]
29,14,0,14,0,22,[4]
30,14,0,14,0,27,[2]
31,14,0,14,0,25,[4]
32,14,0,14,0,23,[5]
33,14,0,14,0,21,[4]
34,14,0,14,0,19,[5]
35,14,0,14,0,17,[5]
36,14,0,14,0,15,[1]
37,14,0,14,0,26,[4]
38,14,0,14,0,24,[2]
39,14,0,14,0,22,[5]
40,14,0,14,0,27,[2]
41,14,0,14,0,25,[4]
42,14,0,14,0,23,[0]
43,14,0,14,0,21,[3]
44,14,0,14,0,19,[3]
45,14,0,14,0,17,[2]
46,14,0,14,0,15,[2]
47,14,0,14,0,26,[3]
48,14,0,14,0,24,[2]
49,14,0,14,0,22,[5]
50,14,0,14,0,27,[1]
51,14,0,14,0,25,[5]
52,14,0,14,0,24,[1]
53,14,0,14,0,22,[3]
54,14,0,14,0,20,[5]
55,14,0,14,0,18,[4]
56,14,0,14,0,16,[3]
57,14,0,14,0,26,[2]
58,14,0,14,0,24,[5]
59,14,0,14,0,22,[3]
60,14,0,14,0,27,[5]
61,14,0,14,0,25,[2]
62,14,0,14,0,23,[2]
63,14,0,14,0,21,[5]
64,14,0,14,0,19,[4]
65,14,0,14,0,17,[0]
66,14,0,14,0,15,[2]
67,14,0,14,0,26,[3]
68,14,0,14,0,24,[2]
69,14,0,14,0,22,[4]
70,14,0,14,0,27,[2]
71,14,0,14,0,25,[0]
72,14,0,14,0,24,[2]
73,14,0,14,0,23,[4]
74,14,0,14,0,21,[5]
75,14,0,14,0,19,[5]
76,14,0,14,0,17,[1]
77,14,0,14,0,26,[1]
78,14,0,14,0,24,[2]
79,14,0,14,0,22,[3]
80,14,0,14,0,27,[2]
81,14,0,14,0,25,[5]
82,14,0,14,0,23,[1]
83,14,0,14,0,21,[0]
84,14,0,14,0,19,[4]
85,14,0,14,0,17,[0]
86,14,0,14,0,15,[5]
87,14,0,14,0,26,[5]
88,14,0,14,0,24,[4]
89,14,0,14,0,22,[3]
90,14,0,14,0,27,[1]
91,14,0,14,0,25,[0]
92,14,0,14,0,25,[0]
93,14,0,14,0,25,[1]
94,14,0,14,0,24,[0]
95,14,0,14,0,24,[1]
96,14,0,14,0,23,[3]
97,14,0,14,0,27,[5]
98,14,0,14,0,25,[0]
99,14,0,14,0,23,[4]
