,Prod. InvenLevel,Prod. DailyChange,Mat. InvenLevel,Mat. DailyChange,Remaining Demand,ACTION
0,0,74,4,74,100,[1]
1,4,84,0,68,97,[5]
2,6,79,0,95,95,[5]
3,10,84,6,89,92,[1]
4,14,84,12,68,89,[2]
5,18,84,10,74,86,[0]
6,22,84,10,63,83,[2]
7,0,16,6,74,100,[3]
8,4,84,6,79,97,[5]
9,8,84,8,89,94,[3]
10,12,84,14,79,91,[0]
11,16,84,16,63,88,[5]
12,20,84,12,89,84,[0]
13,24,84,18,63,81,[2]
14,0,11,14,74,100,[4]
15,4,84,14,84,97,[3]
16,8,84,18,79,94,[1]
17,12,84,20,68,91,[3]
18,16,84,18,79,88,[4]
19,20,84,20,84,84,[5]
20,24,84,24,89,81,[1]
21,0,11,30,68,100,[0]
22,4,84,28,63,97,[3]
23,8,84,24,79,94,[2]
24,12,84,26,74,91,[2]
25,16,84,26,74,88,[2]
26,20,84,26,74,84,[4]
27,24,84,26,84,81,[3]
28,0,11,30,79,100,[1]
29,4,84,32,68,97,[3]
30,8,84,30,79,94,[1]
31,12,84,32,68,91,[0]
32,16,84,30,63,88,[3]
33,20,84,26,79,84,[1]
34,24,84,28,68,81,[3]
35,0,11,26,79,100,[1]
36,4,84,28,68,97,[0]
37,8,84,26,63,94,[0]
38,12,84,22,63,91,[3]
39,16,84,18,79,88,[0]
40,20,84,20,63,84,[0]
41,24,84,16,63,81,[4]
42,0,11,12,84,100,[5]
43,4,84,16,89,97,[3]
44,8,84,22,79,94,[1]
45,12,84,24,68,91,[4]
46,16,84,22,84,88,[1]
47,20,84,26,68,84,[4]
48,24,84,24,84,81,[4]
49,0,11,28,84,100,[5]
50,4,84,32,89,97,[5]
51,8,84,38,89,94,[1]
52,12,84,44,68,91,[5]
53,16,84,42,89,88,[1]
54,20,84,48,68,84,[3]
55,24,84,46,79,81,[4]
56,0,11,48,84,100,[0]
57,4,84,52,63,97,[2]
58,8,84,48,74,94,[1]
59,12,84,48,68,91,[0]
60,16,84,46,63,88,[5]
61,20,84,42,89,84,[0]
62,24,84,48,63,81,[5]
63,0,11,44,89,100,[2]
64,4,84,50,74,97,[1]
65,8,84,50,68,94,[2]
66,12,84,48,74,91,[1]
67,16,84,48,68,88,[2]
68,20,84,46,74,84,[4]
69,24,84,46,84,81,[1]
70,0,11,50,68,100,[3]
71,4,84,48,79,97,[0]
72,8,84,50,63,94,[5]
73,12,84,46,89,91,[1]
74,16,84,52,68,88,[0]
75,20,84,50,63,84,[1]
76,24,84,46,68,81,[5]
77,0,11,44,89,100,[0]
78,4,84,50,63,97,[4]
79,8,84,46,84,94,[4]
80,12,84,50,84,91,[2]
81,16,84,54,74,88,[1]
82,20,84,54,68,84,[1]
83,24,84,52,68,81,[2]
84,0,11,50,74,100,[4]
85,4,84,50,84,97,[3]
86,8,84,54,79,94,[1]
87,12,84,56,68,91,[5]
88,16,84,54,89,88,[1]
89,20,84,60,68,84,[4]
90,24,84,58,84,81,[5]
91,0,11,62,89,100,[5]
92,4,84,68,89,97,[4]
93,8,84,74,84,94,[3]
94,12,84,78,79,91,[0]
95,16,84,80,63,88,[2]
96,20,84,76,74,84,[3]
97,24,84,76,79,81,[0]
98,0,11,78,63,100,[5]
99,4,84,74,89,97,[2]
100,8,84,80,74,94,
101,0,74,4,74,100,
